# Real Madrid 1-2 Bayern Munich | Full Match | UCL QF 1st Leg 2026-04-07
# Generated from Sportradar Extended API (1141 events)
# Format: mm:ss|priority|message
# Total speak events: 1046
#
54:43|APPEND|to Olise.
54:44|APPEND|to Pavlovic.
54:47|APPEND|to Kimmich.
54:48|APPEND|to Olise.
54:51|APPEND|to Diaz.
54:53|APPEND|to Olise.
54:57|APPEND|to Diaz.
55:07|APPEND|to Laimer.
55:11|APPEND|to Tah.
55:14|APPEND|to Pavlovic.
55:15|APPEND|to Tah.
55:16|APPEND|to Gnabry.
55:18|APPEND|to Tah.
55:19|APPEND|to Pavlovic.
55:22|APPEND|to Tah.
55:23|APPEND|to Kimmich.
55:27|APPEND|to Upamecano.
55:30|APPEND|to Stanisic.
55:31|APPEND|to Neuer.
55:35|APPEND|to Tah.
55:37|APPEND|to Pavlovic.
55:41|APPEND|to Diaz.
55:46|APPEND|to Olise.
56:01|INTERRUPT|Michael Olise connects with a pass from Luis Diaz and directs a low, right-footed effort toward the middle of the net from 20 meters, but the attempt is saved.
56:22|APPEND|Carreras loses possession with a stray pass.
56:24|APPEND|Throw-in for Real Madrid.
56:29|APPEND|Carreras to Pitarch Pinar.
56:31|APPEND|to Carreras.
56:32|APPEND|to Huijsen.
56:34|APPEND|Huijsen loses possession with a stray pass.
56:37|APPEND|Upamecano to Kimmich.
56:38|APPEND|to Stanisic.
56:40|APPEND|Stanisic loses possession with a stray pass.
56:41|APPEND|Rudiger to Lunin.
56:43|APPEND|to Alexander-Arnold.
56:47|APPEND|to Rudiger.
56:50|APPEND|to Tchouameni.
56:53|APPEND|to Valverde.
56:55|APPEND|to Huijsen.
56:57|APPEND|to Pitarch Pinar.
57:00|APPEND|to Huijsen.
57:02|APPEND|to Valverde.
57:03|APPEND|Great tackle by Kane!
57:07|INTERRUPT|Harry Kane squanders a massive opening from 10 meters as his right-footed effort from the heart of the box rises high and clear of the target!
57:45|APPEND|Olise prepares to swing a delivery in from the flag, looking for his second assist of the night to potentially kill off the contest.
57:50|INTERRUPT|Upamecano pounces on the ball in the heart of the area, but the defender sends his effort from 10 meters off target!
57:55|APPEND|Goal kick for Real Madrid.
58:11|APPEND|Tah to Kimmich.
58:12|APPEND|Guler to Pitarch Pinar.
58:13|APPEND|Kimmich to Upamecano.
58:14|APPEND|Pitarch Pinar loses possession with a stray pass.
58:15|APPEND|Upamecano to Kimmich.
58:18|APPEND|to Stanisic.
58:21|APPEND|to Upamecano.
58:24|APPEND|to Neuer.
58:28|APPEND|to Tah.
58:34|APPEND|to Kimmich.
58:36|APPEND|to Gnabry.
58:49|APPEND|Foul by Real Madrid.
58:59|APPEND|Pitarch Pinar to Valverde.
59:00|APPEND|to Alexander-Arnold.
59:02|APPEND|to Guler.
59:04|APPEND|to Carreras.
59:10|APPEND|Throw-in for Bayern Munich.
59:25|APPEND|Stanisic to Olise.
59:26|APPEND|to Stanisic.
59:27|APPEND|to Olise.
59:29|APPEND|to Olise.
59:34|APPEND|Foul by Real Madrid.
60:11|APPEND|Kimmich loses possession with a stray pass.
60:16|APPEND|Stanisic to Olise.
60:20|APPEND|to Gnabry.
60:21|APPEND|to Upamecano.
60:24|APPEND|to Pavlovic.
60:28|APPEND|to Laimer.
60:31|APPEND|to Diaz.
60:32|APPEND|to Pavlovic.
60:34|APPEND|to Diaz.
60:40|APPEND|Diaz loses possession with a stray pass.
60:42|APPEND|Tchouameni to Tchouameni.
60:43|APPEND|Tchouameni reads it well and intercepts.
60:45|APPEND|Alexander-Arnold loses possession with a stray pass.
60:59|INTERRUPT|Vinicius Junior finds an opening in the half-space but sends his right-footed attempt from 15 meters soaring over the crossbar and beyond the right upright.
61:05|APPEND|Goal kick for Bayern Munich.
61:31|APPEND|Substitution for Real Madrid. Bellingham replaces Pitarch Pinar.
61:45|APPEND|Substitution for Real Madrid. Militao replaces Huijsen.
61:55|APPEND|Tah to Neuer.
61:57|APPEND|to Pavlovic.
62:01|APPEND|to Kimmich.
62:03|APPEND|to Pavlovic.
62:05|APPEND|to Kimmich.
62:07|APPEND|to Neuer.
62:10|APPEND|Neuer loses possession with a stray pass.
62:15|APPEND|Kimmich to Neuer.
62:20|APPEND|Neuer loses possession with a stray pass.
62:23|APPEND|Gnabry to Laimer.
62:26|APPEND|to Stanisic.
62:28|APPEND|to Olise.
62:38|INTERRUPT|Michael Olise finds space following a pass from Josip Stanisic and lets fly from 20 meters. This left-footed strike lacks precision, sailing over the frame and wide of the left upright.
62:40|APPEND|Goal kick for Real Madrid.
62:58|APPEND|Lunin to Alexander-Arnold.
63:01|APPEND|to Valverde.
63:04|APPEND|to Bellingham.
63:05|APPEND|to Militao.
63:07|APPEND|to Rudiger.
63:08|APPEND|to Carreras.
63:13|APPEND|Carreras loses possession with a stray pass.
63:17|APPEND|Laimer to Pavlovic.
63:21|APPEND|to Kimmich.
63:23|APPEND|to Olise.
64:18|APPEND|Joshua Kimmich positions himself at the flag to deliver a corner, looking to carve out a third goal for the dominant visitors and effectively kill off this quarterfinal tie.
64:24|INTERRUPT|Luis Diaz pivots in the middle of the final third to unleash a right-footed strike ten meters from goal, seeing a heavy deflection divert it wide of the bottom right corner. Bayern sustain the pressure on a reeling Madrid side.
64:50|APPEND|Michael Olise prepares the corner as Bayern Munich look to utilize this opportunity to push their two-goal lead toward an unassailable margin.
64:56|INTERRUPT|Luis Diaz pounces 10 meters from goal but hammers a right-footed strike over the bar and left of the post.
64:57|APPEND|Goal kick for Real Madrid.
65:01|APPEND|Lunin to Alexander-Arnold.
65:04|APPEND|to Guler.
65:08|APPEND|to Bellingham.
65:11|APPEND|to Mbappe.
65:15|APPEND|Arda Guler stands over the set-piece from the quadrant, seeking to craft his fifth assist of the year and haul Real Madrid back into contention.
65:18|INTERRUPT|Mbappe meets Bellingham’s delivery and tests the goalkeeper with a low, right-footed strike from 15 meters, but the attempt is saved to maintain the two-goal cushion for Munich.
65:42|APPEND|Arda Guler prepares to whip in a corner that represents a vital opportunity for Real Madrid to ignite a recovery.
65:43|APPEND|Guler to Valverde.
65:45|APPEND|to Guler.
65:53|APPEND|Carreras to Vinicius Junior.
65:55|APPEND|to Bellingham.
65:59|APPEND|Bellingham loses possession with a stray pass.
66:30|INTERRUPT|Eder Militao meets Arda Guler's delivery 15 meters out, but the defender's effort clears the crossbar. Real Madrid's search for a lifeline continues as the attempt sails over the woodwork.
66:33|APPEND|Goal kick for Bayern Munich.
66:40|APPEND|Tah to Neuer.
66:43|APPEND|Neuer loses possession with a stray pass.
66:49|APPEND|Rudiger to Lunin.
66:54|APPEND|to Militao.
66:56|APPEND|to Alexander-Arnold.
67:00|APPEND|Alexander-Arnold loses possession with a stray pass.
67:02|APPEND|Kimmich loses possession with a stray pass.
67:13|APPEND|Foul by Bayern Munich.
67:31|APPEND|Rudiger to Carreras.
67:33|APPEND|to Guler.
67:36|APPEND|to Mbappe.
67:39|APPEND|Pavlovic to Diaz.
67:41|APPEND|Great tackle by Alexander-Arnold!
67:42|APPEND|to Tchouameni.
67:44|APPEND|to Alexander-Arnold.
67:45|APPEND|to Bellingham.
67:49|APPEND|to Militao.
67:53|APPEND|to Carreras.
67:55|APPEND|to Mbappe.
67:57|APPEND|to Vinicius Junior.
68:00|APPEND|to Mbappe.
68:05|INTERRUPT|Vinicius Junior feeds Kylian Mbappe in the half-space, but the forward's right-footed drive nearly 15 meters out flashes past the right upright.
68:08|APPEND|Goal kick for Bayern Munich.
68:47|APPEND|Substitution for Bayern Munich. Davies replaces Laimer.
68:54|APPEND|Substitution for Bayern Munich. Musiala replaces Gnabry.
69:20|APPEND|Tah to Neuer.
69:25|APPEND|Neuer loses possession with a stray pass.
69:33|APPEND|Kimmich to Upamecano.
69:35|APPEND|to Davies.
69:45|APPEND|to Kane.
69:47|APPEND|Kane loses possession with a stray pass.
70:01|APPEND|Rudiger to Carreras.
70:04|APPEND|to Rudiger.
70:05|APPEND|to Militao.
70:11|APPEND|to Mbappe.
70:18|INTERRUPT|Michael Oliver cautions Jonathan Tah, marking the defender's second booking of the season as Bayern Munich protect a 2-0 lead over Real Madrid.
70:35|APPEND|Foul by Bayern Munich.
71:00|APPEND|Substitution for Real Madrid. Diaz replaces Guler.
71:31|APPEND|Alexander-Arnold to Militao.
71:34|APPEND|to Alexander-Arnold.
71:37|APPEND|to Militao.
71:40|APPEND|to Lunin.
71:43|APPEND|to Rudiger.
71:44|APPEND|to Carreras.
71:48|APPEND|to Diaz.
71:51|APPEND|to Militao.
71:55|APPEND|to Bellingham.
71:57|APPEND|to Mbappe.
72:00|APPEND|to Diaz.
72:02|APPEND|Diaz loses possession with a stray pass.
72:14|APPEND|Foul by Real Madrid.
72:34|APPEND|Great tackle by Alexander-Arnold!
72:35|APPEND|to Bellingham.
72:40|APPEND|Foul by Bayern Munich.
72:48|APPEND|Militao to Alexander-Arnold.
72:50|APPEND|to Bellingham.
72:55|APPEND|to Tchouameni.
72:59|APPEND|to Rudiger.
73:03|APPEND|to Tchouameni.
73:09|APPEND|to Bellingham.
73:13|APPEND|to Alexander-Arnold.
73:17|APPEND|to Valverde.
73:18|APPEND|to Alexander-Arnold.
73:21|APPEND|to Bellingham.
73:22|APPEND|to Valverde.
73:25|APPEND|to Alexander-Arnold.
73:34|INTERRUPT|Mbappe meets a sharp Trent Alexander-Arnold delivery ten meters out, directing a left-footed shot toward the middle of the goal, but the keeper reacts to save and protect the two-goal cushion!
73:39|INTERRUPT|MBAPPE! Kylian Mbappe clinicaly converts an Alexander-Arnold delivery from 5 meters to reduce the deficit! He records his 14th goal of the season to make it 1-2.
74:22|APPEND|Olise to Musiala.
74:25|APPEND|to Kimmich.
74:28|APPEND|to Kane.
74:32|INTERRUPT|Kane latches on to Kimmich’s delivery ten meters away, but his low right-footed effort pulled past the left upright.
74:35|APPEND|Goal kick for Real Madrid.
74:52|APPEND|Lunin to Alexander-Arnold.
74:55|APPEND|to Bellingham.
75:00|APPEND|Stanisic to Kane.
75:42|APPEND|Joshua Kimmich prepares the cross at the flag, searching for a clinical response to restore Bayern's comfortable lead and stifle the Madrid resurgence!
75:46|APPEND|Upamecano loses possession with a stray pass.
76:08|INTERRUPT|Jonathan Tah unloads a speculative effort from 35 meters out near the touchline, seeing his long-range blast fly harmlessly away from the frame.
76:09|APPEND|Olise prepares to swing in a delivery that could decisively blunt this Real Madrid resurgence!
76:12|APPEND|Valverde to Diaz.
76:16|APPEND|to Vinicius Junior.
76:30|INTERRUPT|Luis Diaz receives a yellow card, becoming the second Bayern Munich player cautioned as they protect a narrow 2-1 advantage.
76:35|APPEND|Foul by Bayern Munich.
76:36|APPEND|Real Madrid earn a set-piece out on the wing. The delivery point is situated roughly 25 meters from the target as the hosts look to level the score.
77:43|APPEND|Alexander-Arnold prepares to whip in a pivotal corner as Madrid strive for a second to restore parity in this quarterfinal tie!
77:51|APPEND|Diaz to Alexander-Arnold.
77:54|APPEND|to Diaz.
77:55|APPEND|to Carreras.
77:58|APPEND|to Militao.
78:02|APPEND|Militao loses possession with a stray pass.
78:08|APPEND|Pavlovic to Diaz.
78:12|APPEND|Great tackle by Carreras!
78:14|APPEND|to Mbappe.
78:22|APPEND|to Vinicius Junior.
78:25|APPEND|to Valverde.
78:27|APPEND|to Tchouameni.
78:30|APPEND|to Diaz.
78:33|APPEND|to Alexander-Arnold.
78:35|APPEND|to Diaz.
78:42|APPEND|to Rudiger.
78:43|APPEND|to Diaz.
78:45|APPEND|to Valverde.
78:47|APPEND|to Rudiger.
78:48|APPEND|to Tchouameni.
78:50|APPEND|to Alexander-Arnold.
78:51|APPEND|to Bellingham.
78:57|APPEND|to Diaz.
79:03|APPEND|to Tchouameni.
79:05|APPEND|to Alexander-Arnold.
79:09|APPEND|to Tchouameni.
79:12|APPEND|to Rudiger.
79:14|APPEND|to Carreras.
79:19|APPEND|to Vinicius Junior.
79:26|APPEND|to Diaz.
79:30|INTERRUPT|Vinicius Junior finds Brahim Diaz in the heart of the final third. Diaz unleashes a right-footed attempt from 25 meters, but the goalkeeper denies the shot aimed toward the left side of the netting.
79:44|APPEND|Olise to Stanisic.
79:45|APPEND|to Kimmich.
79:49|APPEND|to Diaz.
79:53|APPEND|to Musiala.
80:00|APPEND|Militao to Bellingham.
80:07|APPEND|to Vinicius Junior.
80:14|APPEND|Vinicius Junior loses possession with a stray pass.
80:21|APPEND|Stanisic loses possession with a stray pass.
80:24|APPEND|Rudiger to Militao.
80:30|APPEND|to Valverde.
80:37|APPEND|to Vinicius Junior.
80:47|INTERRUPT|Vinicius Junior drifts beyond the defensive line out on the wing, but the assistant's flag halts the attack 20 meters from the end line. Real Madrid see a promising forward move neutralized as they continue to trail by a single goal.
81:23|INTERRUPT|Manuel Neuer receives a caution, his second of this continental campaign, as Bayern Munich protect their 2-1 lead in this quarterfinal.
81:36|APPEND|Neuer loses possession with a stray pass.
81:41|APPEND|Kimmich to Olise.
81:43|APPEND|to Neuer.
81:47|APPEND|to Kimmich.
81:50|APPEND|to Tah.
81:53|APPEND|to Pavlovic.
81:58|APPEND|to Diaz.
82:01|APPEND|to Pavlovic.
82:03|APPEND|to Kane.
82:04|APPEND|to Diaz.
82:06|APPEND|Diaz loses possession with a stray pass.
82:07|APPEND|Diaz to Diaz.
82:08|APPEND|Great tackle by Diaz!
82:10|APPEND|Tchouameni to Mbappe.
82:12|APPEND|to Vinicius Junior.
82:17|INTERRUPT|Vinicius Junior maneuvers into the half-space and connects with a pass from Mbappe to fire a right-footed blast from 20 meters, though the attempt toward the middle of the mouth was denied.
82:56|APPEND|Alexander-Arnold stands over the quadrant, looking to deliver a set-piece that might pull Madrid level in this high-stakes knockout clash!
82:58|APPEND|Bellingham loses possession with a stray pass.
83:01|APPEND|Carreras loses possession with a stray pass.
83:04|APPEND|Carreras to Rudiger.
83:07|INTERRUPT|Eder Militao pounces on a pass from Alvaro Carreras in the heart of the offensive zone and hammers a right-footed drive 15 meters out, but the keeper thwarts his blast headed for the upper right corner!
83:29|APPEND|Foul by Real Madrid.
83:47|APPEND|Tah to Neuer.
83:56|APPEND|Neuer loses possession with a stray pass.
84:03|APPEND|Lunin to Rudiger.
84:06|APPEND|to Lunin.
84:11|APPEND|to Alexander-Arnold.
84:14|APPEND|Alexander-Arnold loses possession with a stray pass.
84:16|APPEND|Throw-in for Bayern Munich.
84:31|APPEND|Davies loses possession with a stray pass.
84:37|APPEND|Diaz to Stanisic.
84:38|APPEND|to Musiala.
84:44|APPEND|to Pavlovic.
84:46|APPEND|to Davies.
84:49|APPEND|to Musiala.
84:55|INTERRUPT|Alphonso Davies picks out Jamal Musiala who hammers a low drive from roughly 20 meters out, but Madrid's keeper denies the right-footed attempt aimed inside the bottom-left upright.
84:58|APPEND|Lunin to Alexander-Arnold.
85:02|APPEND|to Valverde.
85:05|APPEND|to Bellingham.
85:08|APPEND|to Alexander-Arnold.
85:12|APPEND|Alexander-Arnold loses possession with a stray pass.
85:17|APPEND|Neuer to Pavlovic.
85:23|APPEND|to Tah.
85:26|APPEND|to Neuer.
85:32|APPEND|to Musiala.
85:48|INTERRUPT|Jamal Musiala receives his first caution of the campaign for a tactical foul as Bayern Munich struggle to maintain their slender 2-1 lead over Real Madrid.
85:55|APPEND|Foul by Bayern Munich.
86:22|APPEND|Alexander-Arnold to Rudiger.
86:26|APPEND|Rudiger loses possession with a stray pass.
86:28|APPEND|Goal kick for Bayern Munich.
86:58|APPEND|Stanisic to Olise.
86:59|APPEND|to Kimmich.
87:00|APPEND|to Stanisic.
87:10|APPEND|to Kimmich.
87:12|APPEND|to Kane.
87:14|APPEND|to Olise.
87:16|APPEND|to Upamecano.
87:18|APPEND|to Kimmich.
87:21|APPEND|to Pavlovic.
87:23|APPEND|to Diaz.
87:27|APPEND|to Pavlovic.
87:29|APPEND|to Diaz.
87:30|APPEND|to Olise.
87:33|APPEND|Olise loses possession with a stray pass.
87:37|APPEND|Bellingham to Militao.
87:41|APPEND|Militao loses possession with a stray pass.
87:49|APPEND|Pavlovic to Diaz.
87:51|APPEND|to Kimmich.
87:52|APPEND|Throw-in for Bayern Munich.
87:53|APPEND|Kimmich to Diaz.
87:56|APPEND|to Kane.
87:57|APPEND|to Kimmich.
87:58|APPEND|to Diaz.
88:00|APPEND|to Davies.
88:09|APPEND|to Musiala.
88:12|APPEND|Great tackle by Tchouameni!
88:13|APPEND|to Rudiger.
88:14|APPEND|to Rudiger.
88:19|APPEND|Kane to Stanisic.
88:22|APPEND|to Olise.
88:31|INTERRUPT|Alphonso Davies picks out Jamal Musiala ten meters out, but the midfielder scuffs his left-footed attempt past the right upright!
88:33|APPEND|Goal kick for Real Madrid.
88:34|APPEND|Davies to Musiala.
88:55|APPEND|Rudiger to Carreras.
88:56|APPEND|to Vinicius Junior.
89:02|APPEND|Foul by Bayern Munich.
89:03|APPEND|Vinicius Junior to Carreras.
89:04|APPEND|to Mbappe.
89:12|INTERRUPT|Mbappe connects with Alvaro Carreras' service and hits a right-footed effort from 25 meters that flashes past the post.
89:15|APPEND|Goal kick for Bayern Munich.
89:34|APPEND|Neuer to Olise.
89:39|APPEND|Valverde to Militao.
89:43|APPEND|to Tchouameni.
89:47|APPEND|to Militao.
89:51|APPEND|to Diaz.
89:56|APPEND|to Bellingham.
89:58|APPEND|to Alexander-Arnold.
90:00|INTERRUPT|The final whistle blows! The match is over!
90:01|APPEND|to Tchouameni.
90:04|APPEND|to Carreras.
90:07|APPEND|Carreras loses possession with a stray pass.
90:10|APPEND|Great tackle by Upamecano!
90:15|APPEND|Alexander-Arnold prepares to whip in a vital delivery that carries the weight of Madrid's hopes for a last-gasp equalizer!
90:16|INTERRUPT|4 minutes of added time.
90:17|APPEND|Pavlovic to Diaz.
90:18|APPEND|Diaz loses possession with a stray pass.
90:19|APPEND|Olise to Stanisic.
90:20|APPEND|to Olise.
90:21|APPEND|Great tackle by Valverde!
90:22|APPEND|Throw-in for Bayern Munich.
90:23|APPEND|Stanisic to Kimmich.
90:24|APPEND|to Tah.
90:25|APPEND|to Kimmich.
90:26|APPEND|to Upamecano.
90:27|APPEND|to Neuer.
90:28|APPEND|Neuer loses possession with a stray pass.
90:29|APPEND|Kane to Davies.
90:30|APPEND|to Diaz.
90:31|APPEND|Diaz loses possession with a stray pass.
90:32|APPEND|Pavlovic to Kimmich.
90:33|APPEND|to Diaz.
90:34|INTERRUPT|Luis Diaz mistimes his run and the assistant raises the flag for offside. The Bayern winger strayed behind the defense amidst a congested area, roughly 15 meters from the target.
90:35|APPEND|Substitution for Bayern Munich. Goretzka replaces Pavlovic.
90:36|APPEND|Substitution for Bayern Munich. Bischof replaces Diaz.
90:37|APPEND|Tchouameni loses possession with a stray pass.
90:38|APPEND|Olise to Kane.
90:39|APPEND|Foul by Real Madrid.
90:40|APPEND|Kimmich to Kane.
90:41|APPEND|Rudiger to Lunin.
90:42|APPEND|to Carreras.
90:43|APPEND|Kane to Olise.
90:44|APPEND|Carreras to Tchouameni.
90:45|APPEND|to Valverde.
90:46|APPEND|to Diaz.
90:47|APPEND|Carreras to Bellingham.
90:48|APPEND|to Vinicius Junior.
90:49|APPEND|Vinicius Junior loses possession with a stray pass.
90:50|APPEND|Stanisic to Neuer.
90:51|APPEND|Neuer loses possession with a stray pass.
90:52|APPEND|Rudiger loses possession with a stray pass.
90:53|APPEND|Alexander-Arnold loses possession with a stray pass.
90:54|APPEND|Kimmich to Upamecano.
90:55|APPEND|Rudiger to Militao.
